map2_key,map2_value,map2_normalized_name,map2_catagory_name,map2_catagory_Chinese_name
pegmme5000,pegmme5000,PEGMME5000,,沉淀剂
ethyleneglycol,ethylene glycol,ethylene glycol,,有机溶剂
peg1,peg1000,PEG1000,,沉淀剂
gtp,gtp,GTP,,添加剂
kmes,kmes,KMES,,缓冲试剂(buffer reagents)
dgalactose,dgalactose,D-Galactose,,添加剂
sucrose,sucrose,sucrose,,添加剂
peg400,peg400,PEG400,,沉淀剂
capso,capso,CAPSO,,缓冲试剂
mmt,mmt,MMT,,缓冲试剂
peg300,peg300,PEG300,,沉淀剂
mib,mib,MIB,,缓冲试剂
betaoctylglucoside,betaoctylglucoside,octyl glucoside,,添加剂
bme,bme,BME,,#N/A
aminohexanoic acid,aminohexanoic acid,aminohexanoic acid,,#N/A
hecameg,hecameg,Hecameg,,去垢剂
peg3500,peg3500,PEG3500,,沉淀剂
butanol,butanol,butanol,,有机溶剂
strontium chloride,strontium chloride,SrCl2,,盐
trimethylamine noxide,tmao,TMAO,,盐
dmso,dmso,DMSO,,添加剂
spermine,spermine,spermine,,添加剂
peg3400,peg3400,PEG3400,,沉淀剂
lithium chloride,lithium chloride,LiCl,,盐
sodium sulfate,sodium sulfate,Na2SO4,,盐
pgalm,pgalm,PGA-LM,,#N/A
putrescine,putrescine,putrescine,,添加剂
tcep,tcep,TCEP,,添加剂
dtt,dtt,DTT,,添加剂
2ethyl1,2ethyl1,#N/A,,#N/A
malate,malate,malate,,#N/A
barium chloride,barium chloride,BaCl2,,盐
peg1000,peg1000,PEG1000,,沉淀剂
cacodylic acid,cacodylic acid,cacodylic acid,,缓冲试剂
peg5000,peg5000,PEG5000,,沉淀剂
imidazole,imidazole,imidazole,,添加剂
glutathione,glutathione,glutathione,,添加剂
peg8000,peg8000,PEG8000,,沉淀剂
decylmaltoside,dm,DM,,去垢剂
pentaerythritol ethoxylate 154 eooh,pentaerythritol ethoxylate 154 eooh,Pentaerythritol ethoxylate,,沉淀剂
tetrahydrochloride,tetrahydrochloride,tetrahydrochloride,,#N/A
peg2000mme,pegmme2000,PEGMME2000,,沉淀剂
edta,edta,EDTA,,添加剂
potassium diphosphate dibasic,potassium diphosphate dibasic,KH2PO4,,缓冲试剂
sodium fluoride,sodium fluoride,NaF,,盐
malonic acid,malonic acid,malonic acid,,#N/A
sodium n3,sodium azide, NaNO3,,盐
peg600,peg600,PEG600,,沉淀剂
acetonitrile,acetonitrile,acetonitrile,,添加剂
hexanediol,hexanediol,hexanediol,,有机溶剂
ammonium fluoride,ammonium fluoride,NH4I,,缓冲试剂
dibasic sodium phosphate,dibasic sodium phosphate,Na2HPO4,,缓冲试剂
jeffamine m600,jeffamine m600,jeffamine m600,,沉淀剂
hepes,hepes,HEPES,,缓冲试剂
citrate,citrate,Citrate,,缓冲试剂
sam,sam,S-adenosylmethionine,,#N/A
propanol,propanol,propanol,,有机溶剂
dioxane,dioxane,dioxane,,添加剂，有机溶剂
hexaamminecobalt chloride,hexaamminecobalt chloride,Co(NH3)6]Cl3,,添加剂
sodium citrate tribasic,sodium citrate tribasic,sodium citrate tribasic,,缓冲试剂
betadm,betadm,DM,,去垢剂
acetone,acetone,acetone,,添加剂
haxanediol,haxanediol,haxanediol,,有机溶剂
tmao,tmao,TMAO,,盐
ada,ada,ADA,,缓冲试剂
ammonium citrate,ammonium citrate,ammonium citrate,,缓冲试剂
nadph,nadph,NADPH,,添加剂
ammonium monobasic phosphate,ammonium monobasic phosphate,NH4H2PO4,,缓冲试剂
manganese chloride,manganese chloride,MgCl2,,盐
trilithium citrate,trilithium citrate,Trilithium citrate tetrahydrate,,盐
ddt,ddt,DDT,,添加剂
guanidine hydrochloride,guanidine hydrochloride,Guanidine hydrochloride,,添加剂
ammonium citrate tribasic,ammonium citrate tribasic,Ammonium citrate,,缓冲试剂
sitting drop,sitting drop,SITTING DROP,,方法
potassium phosphate,potassium phosphate,K2SO4,,盐
sodium azide,sodium azide,NaN3,,添加剂
potassium cacodylate,potassium cacodylate,Potassium cacodylate,,缓冲试剂
potassium iodine,potassium iodine,KI,,盐
lithium citrate,lithium citrate,lithium citrate,,盐
tbutanol,tbutanol,tert-Butanol,,#N/A
peg8,peg8000,PEG8000,,沉淀剂
potassium,potassium,K,,#N/A
lproline,lproline,L-proline,,添加剂
ammonium phosphate,ammonium phosphate,(NH4)2SO4,,沉淀剂
potassium formate,potassium formate,Potassium formate,,缓冲试剂
dlalanine,dlalanine,DL-Alanine,,#N/A
peptidic ligand,peptidic ligand,peptidic ligand,,添加剂
azide,azide,azide,,添加剂
peg3000,peg3000,PEG3000,,沉淀剂
imidazolemalate,imidazolemalate,imidazolemalate,,缓冲试剂
disodium phosphate dibasic,disodium phosphate dibasic,Na2HPO4,,缓冲试剂
pmsf,pmsf,PMSF,,添加剂
plp,plp,PLP,,添加剂
sodium phosphate,sodium phosphate,Na3PO4,,缓冲试剂
octyl glucoside,octyl glucoside,octyl glucoside,,添加剂
ammonium tartrate,ammonium tartrate,ammonium tartrate,,缓冲试剂
glycerol ethoxylate,glycerol ethoxylate,glycerol ethoxylate,,添加剂
citric acid,citric acid,citric acid,,缓冲试剂
tryptone,tryptone,tryptone,,添加剂
formate,formate,formate,,缓冲试剂
mercaptoethanol,mercaptoethanol,#N/A,,#N/A
potassium scn,potassium scn,#N/A,,#N/A
magnesium acetate,magnesium acetate,#N/A,,#N/A
2-Methyl-2-butanol,2-Methyl-2-butanol,#N/A,,#N/A
sodium malonate,sodium malonate,#N/A,,#N/A
peg200,peg200,PEG200,,沉淀剂
nadp,nadp,NADP,,添加剂
diammonium tartrate,diammonium tartrate,#N/A,,#N/A
cetyltrimethylammonium bromide,cetyltrimethylammonium bromide,#N/A,,#N/A
nadh,nadh,NADH,,添加剂
sodium citrate,sodium citrate,#N/A,,#N/A
lcysteine,lcysteine, L-cysteine,,#N/A
sodium scn,sodium scn,#N/A,,#N/A
oxonate,oxonate,oxonate,,缓冲试剂
bes,bes,BES,,缓冲试剂
cadmium chloride,cadmium chloride,#N/A,,#N/A
peg51,peg51,#N/A,,#N/A
sodium iodide,sodium iodide,#N/A,,#N/A
lcp,lcp,0,,#N/A
peg3550,peg3550,PEG3550,,沉淀剂
ammonium phosphate dibasic,ammonium phosphate dibasic,#N/A,,#N/A
egta,egta,EGTA,,添加剂
yb chloride,yb chloride,#N/A,,#N/A
malonate,malonate,malonate,,缓冲试剂
potassium citrate,potassium citrate,#N/A,,#N/A
spermidine,spermidine,spermidine,,添加剂
potassium nitrate,potassium nitrate,#N/A,,#N/A
ammonium tartrate dibasic,ammonium tartrate dibasic,#N/A,,#N/A
deoxybigchap,deoxybigchap,#N/A,,#N/A
propanediol,propanediol,propanediol,,有机溶剂，添加剂
sodium dithionite,sodium dithionite,#N/A,,#N/A
peg500mme,pegmme500,#N/A,,#N/A
potassium sodium tartrate tetrahydrate,potassium sodium tartrate tetrahydrate,#N/A,,#N/A
dimethylhexanediol,dimethylhexanediol,#N/A,,#N/A
hydrogen chloride,hydrogen chloride,#N/A,,#N/A
bog,bog,BOG,,去垢剂
peg20000,peg20000,PEG20000,,沉淀剂
ethanol methylpentane,ethanol methylpentane,#N/A,,#N/A
acetate,acetate,acetate,,缓冲试剂
ammonium sulfate,ammonium sulfate,#N/A,,#N/A
magnesium acetate tetrahydrate,magnesium acetate tetrahydrate,#N/A,,#N/A
methylpentanediol,methylpentanediol,#N/A,,#N/A
malic acid,malic acid,malic acid,,#N/A
pentaerythritol propoxylate pooh 54,pentaerythritol propoxylate pooh 54,#N/A,,#N/A
peg1450,peg1450,PEG1450,,沉淀剂
ndecylbetadmaltoside,ndecylbetadmaltoside,#N/A,,#N/A
tacsimate,tacsimate,tacsimate,,盐
bistris propane,bistris propane,#N/A,,#N/A
dtm,dtm,0,,#N/A
ammonium iodide,ammonium iodide,#N/A,,#N/A
diammonium hydrogen citrate,diammonium hydrogen citrate,#N/A,,#N/A
ammonium nitrate,ammonium nitrate,#N/A,,#N/A
potassium sulfate,potassium sulfate,#N/A,,#N/A
methanol,methanol,methanol,,有机溶剂，添加剂
monohydrate,monohydrate,#N/A,,#N/A
ammonium formate,ammonium formate,#N/A,,#N/A
sodium,sodium,#N/A,,#N/A
heptanetriol,heptanetriol,heptanetriol,,添加剂
peg1500,peg1500,PEG1500,,沉淀剂
butanediol,butanediol,butanediol,,有机溶剂
dlmalic acid,dlmalic acid,#N/A,,#N/A
hydrochloride,hydrochloride,#N/A,,#N/A
zinc acetate,zinc acetate,#N/A,,#N/A
mes,mes,MES,,缓冲试剂
peg10000,peg10000,PEG10000,,沉淀剂
cu sulfate,cu sulfate,#N/A,,#N/A
sodium phosphate dibasic,sodium phosphate dibasic,#N/A,,#N/A
sodium thiocyanate,sodium thiocyanate,#N/A,,#N/A
peg10,peg10,#N/A,,#N/A
peg350,peg350,#N/A,,#N/A
peg4,peg4,#N/A,,#N/A
pegmme2000,pegmme2000,PEGMME2000,,沉淀剂
potassium no3,potassium no3,#N/A,,#N/A
peg2000,peg2000,PEG2000,,沉淀剂
peg6000,peg6000,PEG6000,,沉淀剂
ammonium no3,ammonium no3,#N/A,,#N/A
pipes,pipes,PIPES,,缓冲试剂
vapor diffusion,vapor diffusion,0,,#N/A
ammonium citrate dibasic,ammonium citrate dibasic,#N/A,,#N/A
potassium fluorin,potassium fluorin,#N/A,,#N/A
ethylene glycol,ethylene glycol,ethylene glycol,,有机溶剂
lithium sulfate,lithium sulfate,#N/A,,#N/A
sodium phosphate monobasic,sodium phosphate monobasic,#N/A,,#N/A
trehalose,trehalose,trehalose,,添加剂
potassium phosphate dibasic,potassium phosphate dibasic,#N/A,,#N/A
phenol,phenol,phenol,,有机溶剂
amp,amp,AMP,,添加剂
fad,fad,FAD,,添加剂
magnesium sulfate,magnesium sulfate,#N/A,,#N/A
magnesium no3,magnesium no3,#N/A,,#N/A
potassium bromide,potassium bromide,#N/A,,#N/A
sodium succinate,sodium succinate,#N/A,,#N/A
dimethyl sulfoxide,dimethyl sulfoxide,#N/A,,#N/A
j5e,j5e,#N/A,,#N/A
potassium fluoride,potassium fluoride,#N/A,,#N/A
succinate,succinate,succinate,,缓冲试剂
nickel chloride,nickel chloride,#N/A,,#N/A
methyl2,methyl2,#N/A,,#N/A
magnesium nitrate,magnesium nitrate,#N/A,,#N/A
cacodylate,cacodylate,cacodylate,,缓冲试剂
phosphate,phosphate,phosphate,,缓冲试剂
trifluoroethanol,trifluoroethanol,#N/A,,#N/A
cadmium sulfate,cadmium sulfate,#N/A,,#N/A
jeffamine ed2001,jeffamine ed2001,jeffamine ed2001,,沉淀剂
arginine,arginine,arginine,,添加剂
ammonium acetate,ammonium acetate,#N/A,,#N/A
mn chloride,mn chloride,#N/A,,#N/A
pentaerythritol propoxylate 54 pooh,pentaerythritol propoxylate 54 pooh,#N/A,,#N/A
vapour diffusion,vapour diffusion,#N/A,,#N/A
sodium acetate,sodium acetate,#N/A,,#N/A
diheptanoylphosphatidylcholine,diheptanoylphosphatidylcholine,#N/A,,#N/A
peg,peg,PEG,,沉淀剂
peg3,peg3000,PEG3000,,沉淀剂
potassium sodium tartrate,potassium sodium tartrate,#N/A,,#N/A
disodium tartrate,disodium tartrate,#N/A,,#N/A
sodium acetate trihydrate,sodium acetate trihydrate,#N/A,,#N/A
proline,proline,L-proline,,#N/A
potassium iodide,potassium iodide,#N/A,,#N/A
taps,taps,TAPS,,添加剂
spg,spg,SPG,,缓冲试剂
potassium acetate,potassium acetate,#N/A,,#N/A
amppnp,amppnp,AMP-PNP,,#N/A
cs chloride,cs chloride,#N/A,,#N/A
ethanol,ethanol,0,,#N/A
ammonium dihydrogen phosphate,ammonium dihydrogen phosphate,#N/A,,#N/A
dithiothreitol,dithiothreitol,#N/A,,#N/A
dm,dm,DM,,去垢剂
ethonal,ethonal,#N/A,,#N/A
zinc sulfate,zinc sulfate,#N/A,,#N/A
sodium potassium phosphate,sodium potassium phosphate,#N/A,,#N/A
gsh,gsh,GSH,,添加剂
deg c,,#N/A,,#N/A
peg6,peg6,#N/A,,#N/A
ldao,ldao, LDAO,,#N/A
tris,tris,Tris,,缓冲试剂
ammonium phosphate monobasic,ammonium phosphate monobasic,#N/A,,#N/A
sodium hydroxide,sodium hydroxide,#N/A,,#N/A
glycerol,glycerol,glycerol,,添加剂
bicine,bicine,bicine,,缓冲试剂
tertbutanol,tertbutanol,#N/A,,#N/A
ammonium chloride,ammonium chloride,#N/A,,#N/A
peg800,peg800,PEG800,,沉淀剂
betaine,betaine,betaine,,添加剂
acetic acid,acetic acid,#N/A,,#N/A
dxylose,dxylose,dxylose,,添加剂
nad,nad,NAD,,添加剂
potassium chloride,potassium chloride,#N/A,,#N/A
ches,ches,CHES,,缓冲试剂
ddm,ddm,DDM,,去垢剂
ni chloride2,ni chloride2,#N/A,,#N/A
tripotassium citrate,tripotassium citrate,#N/A,,#N/A
bistris methane,bistris methane,#N/A,,#N/A
bistris,bistris,bistris,,缓冲试剂
mpd,mpd,"2-methyl-2,4-pentanediol ",,#N/A
magnesium chloride hexahydrate,magnesium chloride hexahydrate,#N/A,,#N/A
benzamidine,benzamidine,benzamidine,,添加剂
peg20,peg20,PEG20,,沉淀剂
sodium oxamate,sodium oxamate,#N/A,,#N/A
potassium phosphate monobasic,potassium phosphate monobasic,#N/A,,#N/A
ethyl1,ethyl1,#N/A,,#N/A
trisodium citrate,trisodium citrate,#N/A,,#N/A
xylitol,xylitol,xylitol,,添加剂(additive)
calcium chloride,calcium chloride,#N/A,,#N/A
es,es,#N/A,,#N/A
sodium tartrate,sodium tartrate,#N/A,,#N/A
diammonium phosphate dibasic,diammonium phosphate dibasic,#N/A,,#N/A
sodium potassium tartrate,sodium potassium tartrate,#N/A,,#N/A
cesium chloride,cesium chloride,#N/A,,#N/A
etgly,etgly,#N/A,,#N/A
sodium no3,sodium no3,#N/A,,#N/A
btp,btp,0,,#N/A
undecyl maltoside,undecyl maltoside,#N/A,,#N/A
larginine,larginine,#N/A,,#N/A
calcium acetate,calcium acetate,#N/A,,#N/A
sodium chloride,sodium chloride,#N/A,,#N/A
urea,urea,urea,,添加剂
cu chloride,cu chloride,#N/A,,#N/A
bicinetrizma,bicinetrizma,#N/A,,#N/A
peg550mme,pegmme550,#N/A,,#N/A
pegmme550,pegmme550,PEGMME550,,沉淀剂
zinc chloride,zinc chloride,#N/A,,#N/A
amino acids,amino acids,#N/A,,#N/A
ppg p400,ppg p400,ppg p400,,沉淀剂
pdtp,pdtp,"thymidine-3',5'-diphosphate",,#N/A
jeffamine,jeffamine,jeffamine,,沉淀剂(precipitant)
pentaerythritol ethoxylate,pentaerythritol ethoxylate,#N/A,,#N/A
chaps,chaps,CHAPS,,去垢剂
gdp,gdp,GDP,,添加剂
cobalt chloride,cobalt chloride,#N/A,,#N/A
noctylbetadglucoside,noctylbetadglucoside,#N/A,,#N/A
sds,sds,SDS,,去垢剂
pentanediol,pentanediol,pentanediol,,有机溶剂，添加剂
peg3350,peg3350,PEG3350,,沉淀剂
tocopherol,tocopherol,tocopherol,,添加剂
atp,atp,ATP,,添加剂
sodium fluorin,sodium fluorin,#N/A,,#N/A
glucose,glucose,glucose,,添加剂
taurine,taurine,taurine,,缓冲试剂
pentanediol mpd,pentanediol mpd,#N/A,,#N/A
triammonium citrate,triammonium citrate,#N/A,,#N/A
dipotassium phosphate dibasic,dipotassium phosphate dibasic,#N/A,,#N/A
adp,adp,ADP,,添加剂
sodium bromide,sodium bromide,#N/A,,#N/A
peg5000mme,pegmme5000,#N/A,,#N/A
sodium formate,sodium formate,#N/A,,#N/A
pctp,pctp,PCTP,,缓冲试剂
lithium acetate,lithium acetate,#N/A,,#N/A
mega8,mega8,mega-8,,#N/A
sodium diphosphate dibasic,sodium diphosphate dibasic,#N/A,,#N/A
peg550,peg550,PEG550,,沉淀剂
caps,caps,CAPS,,缓冲试剂
phosphate citrate,phosphate citrate,#N/A,,#N/A
potassium thiocyanate,potassium thiocyanate,#N/A,,#N/A
sodium iodine,sodium iodine,#N/A,,#N/A
peg4000,peg4000,peg4000,,沉淀剂
mops,mops,Mops,,缓冲试剂
lithium nitrate,lithium nitrate,#N/A,,#N/A
hb,hb,#N/A,,#N/A
magnesium formate,magnesium formate,#N/A,,#N/A
isopropanol,isopropanol,isopropanol,,有机溶剂(organic)
succinic acid,succinic acid,#N/A,,#N/A
c12e8,c12e8,C12E8,,去垢剂，脂质
magnesium chloride,magnesium chloride,#N/A,,#N/A
sodium nitrate,sodium nitrate,#N/A,,#N/A
pep629,pep629,pentaerythritol propoxylate 629,,#N/A
hanging drop,hanging drop,0,,#N/A
glycine,glycine,glycine,,添加剂
sodium cacodylate,sodium cacodylate,#N/A,,#N/A
boric acid,boric acid,#N/A,,#N/A
sr chloride,strontium chloride,#N/A,,#N/A
liquid diffusion,liquid diffusion,#N/A,,#N/A
ltyrosine,ltyrosine,L-tyrosine,,#N/A
peg500,peg500,#N/A,,#N/A
